ticker,date,entry,d10,d20,adr,stop_pct,rr10sma,gain10sma_pct,mae10sma_pct,src,split,d10_adr,d20_adr
NVAX,2020-06-15,47.6,2.7301179599735104,0.06832371993670261,12.47957833632741,3.571428571428577,59.93,214.03,-5.46,db,1.0,0.21876684342981986,0.005474842025536694
NBR,2020-05-11,14.8,12.75331383660534,7.773529722670647,17.706083426317637,3.9864864864864855,50.12,199.8,-4.26,db,1.0,0.7202786482779873,0.43903157663407216
APT,2020-02-21,5.5,5.363985059321563,-1.610017217660109,15.79840751590445,5.454545454545452,29.73,162.18,-4.55,db,1.0,0.3395269462394595,-0.1019100954345737
MARA,2020-11-16,2.47,7.391304347826111,1.9187130469031866,11.401826708040671,2.834008097166003,38.71,109.72,-5.67,db,1.0,0.6482561555345948,0.16828119704275918
TVIX,2020-02-22,47.05,13.411754238563534,4.765085638021116,9.455314738390639,5.41976620616365,19.55,105.95,18.92,yf,1.0,1.41843551585955,0.503958437118315
JMIA,2020-07-20,8.04,10.318331330612885,25.116713834786108,12.61099313905127,5.8457711442785945,17.72,103.61,-6.37,db,1.0,0.8182013277496032,1.9916523272865445
LCID,2021-10-25,252.39999999999998,5.390621334970169,3.814910351483758,5.52254553716897,1.58478605388272,64.75,102.61,-2.13,db,0.1,0.9761117040482695,0.6907883920210101
TLRY,2021-01-04,90.0,5.066542330514623,7.040914484209204,7.81930395576141,6.11111111111112,16.55,101.11,-6.67,db,0.1,0.6479531118343979,0.9004528438904497
MARA,2021-01-28,19.5,-3.360094568497196,4.088822906929357,17.978240987544364,6.717948717948712,13.44,90.31,-12.0,db,1.0,-0.18689784895113642,0.22743175540711486
SE,2020-05-05,57.38,5.518674310661775,11.146622636656778,4.775015571225947,2.2830254444057196,35.83,81.81,-2.46,db,1.0,1.1557395422785814,2.3343636204719163
MSTR,2021-01-28,56.665,0.4666528552879301,11.148271251817366,8.82669109255946,2.329480278831719,28.42,66.2,-2.67,db,10.0,0.05286837959938344,1.2630181723720797
SRNE,2020-07-30,8.0,4.4659180983300795,6.492728624494171,9.801564040666225,10.2925,5.36,55.12,-4.13,yf,1.0,0.45563321116927835,0.6624176098382
JMIA,2021-01-12,40.34,6.1942246385017885,1.9008535237661217,11.276623495887492,5.676747645017367,9.65,54.76,-10.11,db,1.0,0.5492978142580339,0.1685658410480185
GRWG,2020-11-12,23.0,16.384979659645317,20.652572371238275,10.933844008680648,7.434782608695656,6.53,48.57,-8.13,db,1.0,1.4985561936531084,1.888866564663049
TLRY,2021-02-02,206.70000000000002,11.440587319580953,30.66978581904223,13.71646905639393,5.950653120464443,6.77,40.3,-6.63,db,0.1,0.8340767053491748,2.235982576342817
TSLA,2020-06-30,66.8,1.3062646105020947,4.266280636377173,4.278456197230858,2.317365269461081,17.31,40.12,-7.05,db,15.0,0.30531213837073934,0.9971542163125183
AMD,2021-10-13,107.7,4.287707669067897,3.6174722266989257,2.775014806263295,1.253481894150426,30.67,38.45,-1.35,db,1.0,1.545111636662409,1.3035866398024898
TDOC,2021-01-06,205.7,1.5752305466564476,3.3022052616689557,4.024711838442991,4.117647058823529,9.14,37.63,-4.23,db,1.0,0.39138964723145114,0.8204824082378166
W,2020-07-27,229.6,4.035922831498806,5.294535634893305,5.79715627872031,3.3493031358885013,10.58,35.43,-3.87,db,1.0,0.6961901038123667,0.9132987589670506
FUTU,2020-11-05,32.58,4.459906579238582,3.8472579785497896,5.316838712924029,3.253529772866786,10.75,34.99,-3.47,db,1.0,0.8388267577870212,0.7235987748129312
NIO,2020-09-29,19.34,2.9325683067398467,3.6497137200942165,8.31761129461919,1.8614270941054782,18.53,34.49,-3.26,db,1.0,0.35257337748362644,0.43879349380696364
QS,2021-10-29,26.64,7.736482188224025,10.440893346071768,5.855708869365245,3.8663663663663708,8.87,34.31,-5.56,db,1.0,1.3211862749356007,1.7830280806298955
SOXL,2020-12-30,30.128666666666668,1.2066056833391459,1.4204422924188442,4.677852007061284,1.902285752218259,15.57,29.63,-1.75,db,15.0,0.25794011471884054,0.30365267868129786
NVAX,2020-04-03,14.36,12.901957227013527,26.41401493483617,18.500371622218353,6.963788300835655,4.05,28.2,-5.29,db,1.0,0.6973890844181039,1.4277559107576945
TSLA,2020-12-24,218.11333333333334,1.922277534785155,5.628409410703505,5.8815968954660125,1.8293242045419849,15.13,27.68,-2.04,db,3.0,0.32682918754037604,0.956952594803346
BLDP,2020-06-29,14.29,3.2290700382201276,9.100626431075742,6.725892287607029,1.889433170048982,14.56,27.5,-2.24,db,1.0,0.4800954133877428,1.353073472176226
CAN,2020-12-30,4.36,9.19108421514423,12.298777113182036,12.590386582947929,7.761467889908256,3.43,26.61,-7.34,db,1.0,0.7300081021811022,0.9768387199356657
CAN,2021-03-09,22.8,18.073537377328954,32.952358730725216,24.2571763556527,5.526315789473691,4.79,26.45,-6.49,db,1.0,0.745080017242701,1.358458142348718
APT,2020-06-17,13.6,16.558107339983618,10.56910569105689,8.12441448026718,2.941176470588238,8.97,26.4,-4.12,db,1.0,2.0380677746316906,1.30090675663181
ETCG,2020-02-06,15.51,15.423255813953496,35.51828525792469,11.977945953922053,18.6976144422953,1.38,25.73,-6.51,yf,1.0,1.287637786418907,2.9653068559968414
DQ,2020-12-10,43.7,5.903451106626445,4.61878762715231,8.090171490889956,7.688787185354689,3.29,25.33,-8.05,db,1.0,0.7297065474167147,0.5709134388997015
SNAP,2020-11-19,41.71,3.0538118965943495,1.9667276390610722,6.2360597496271355,2.397506593143131,10.38,24.89,-4.2,db,1.0,0.48970215475837,0.3153798581193303
SHOP,2020-06-15,78.0,4.7515570442729915,3.107364646507027,5.218186952066723,1.282051282051282,18.88,24.2,-1.3,db,10.0,0.9105762380535414,0.5954874125919003
GUSH,2021-01-05,10.29,7.234975436481839,3.293808037176338,7.859922045747501,5.59110787172011,4.06,22.69,-3.45,db,4.0,0.9204894647010169,0.41906370292290696
ERX,2022-01-03,30.85,5.882756505265974,4.569181588136506,4.332301432323337,3.0794165316045468,6.82,21.0,-3.79,db,1.0,1.3578825474549574,1.0546776717902877
Z,2020-12-07,109.78,1.2571837976871114,1.9975851119555799,5.2473221010010045,1.739843323009653,11.99,20.86,-2.68,db,1.0,0.23958578747191542,0.38068658136585726
BE,2020-08-13,13.65,4.134879523534196,-7.798303726156552,10.95204115545403,2.930402930402933,6.65,19.49,-3.37,db,1.0,0.37754419152041435,-0.712041126897433
PTON,2020-12-14,122.5,6.247345110028335,10.749981047997515,5.873943407596144,3.5836734693877546,5.34,19.15,-3.88,db,1.0,1.063569169214213,1.8301131458120132
OKTA,2020-05-04,152.0,0.708269811492368,6.5526368229646526,4.578253853706991,1.940789473684203,9.29,18.04,-2.43,db,1.0,0.15470304489972422,1.4312524015371086
NET,2020-06-15,29.9,2.44988984661223,4.045237404872615,5.384013153937707,3.3444816053511697,5.21,17.42,-3.65,db,1.0,0.45503043483845373,0.7513424074593964
SPCE,2021-06-22,737.0,2.352580341170296,11.849693748562661,9.55090840204791,2.7137042062415193,6.34,17.2,-3.34,db,0.05,0.24632006110181676,1.24068761313027
PDD,2020-05-08,51.7,6.622120615143601,9.276913086092065,5.008289541758178,1.7408123791102619,9.58,16.67,-1.9,db,1.0,1.3222319835803424,1.8523116542569884
DDOG,2020-06-08,72.6,2.9977166043646752,6.643164399525281,7.295617366519124,2.203856749311287,7.44,16.39,-3.47,db,1.0,0.410892794093304,0.910569190485775
LABU,2020-06-18,1014.5999999999999,7.199458622048316,4.681034604171308,9.716473146749914,3.015966883500875,5.33,16.09,-5.09,db,0.05,0.7409538948251485,0.4817627274292502
CCJ,2021-10-12,22.08,2.1512840109536135,0.960219566788445,5.2520668702346365,2.44565217391304,6.24,15.26,-2.76,db,1.0,0.40960712498649215,0.182826988024535
