session,chance,level rho,Shape differential,Shape differential rho,Temporal delta,Temporal delta rho,Turnover share,Turnover share rho,Participation,Participation rho,Rotation momentum,Rotation momentum rho
2019-01-02,0.2727272727272727,-0.5545454545454546,0.3333333333333333,0.31890743330474364,0.0,-0.5818181818181819,0.3333333333333333,-0.4000000000000001,0.0,-0.21818181818181823,0.0,-0.11818181818181818
2019-01-03,0.2727272727272727,-0.6363636363636364,0.3333333333333333,0.38181818181818183,0.0,-0.07272727272727274,0.0,-0.43636363636363645,0.3333333333333333,0.07744894808829489,0.3333333333333333,0.08181818181818183
2019-01-04,0.2727272727272727,-0.29157251045005134,0.0,-0.18678863950706415,0.0,-0.41818181818181827,0.3333333333333333,-0.16363636363636366,0.0,-0.41818181818181827,0.0,-0.4090909090909091
2019-01-07,0.2727272727272727,-0.4009122018688206,0.3333333333333333,-0.26363636363636367,0.0,-0.6727272727272727,0.3333333333333333,0.10909090909090911,0.0,-0.38181818181818183,0.0,-0.45454545454545453
2019-01-08,0.2727272727272727,-0.1415525114155251,0.0,-0.4738053294813334,0.0,-0.4783611499571155,0.6666666666666666,0.3143516128289616,0.3333333333333333,-0.3926940639269406,0.0,-0.7334870966009104
2019-01-09,0.2727272727272727,-0.5785892004243207,0.0,-0.45454545454545453,0.3333333333333333,-0.46363636363636374,0.0,-0.03636363636363637,0.3333333333333333,-0.4000000000000001,0.0,-0.6454545454545455
2019-01-10,0.2727272727272727,-0.6742614304157438,0.3333333333333333,-0.4000000000000001,0.0,-0.6272727272727273,0.0,-0.16363636363636366,0.3333333333333333,0.17272727272727276,0.0,-0.7727272727272727
2019-01-11,0.2727272727272727,-0.5727272727272729,0.3333333333333333,-0.05454545454545456,0.0,-0.7272727272727273,0.0,-0.07272727272727274,0.3333333333333333,0.27272727272727276,0.0,-0.8181818181818182
2019-01-14,0.2727272727272727,-0.8454545454545455,0.0,-0.3181818181818182,0.0,-0.7454545454545456,0.3333333333333333,0.009090909090909092,0.0,-0.14545454545454548,0.0,-0.7818181818181819
2019-01-15,0.2727272727272727,-0.29157251045005134,0.6666666666666666,-0.009090909090909092,0.0,-0.5272727272727273,0.3333333333333333,0.018181818181818184,0.0,0.38181818181818183,0.0,-0.6636363636363638
2019-01-16,0.2727272727272727,-0.7000000000000001,0.3333333333333333,0.03636363636363637,0.0,-0.6181818181818182,0.3333333333333333,-0.07272727272727274,0.0,0.02727272727272728,0.0,-0.5272727272727273
2019-01-17,0.2727272727272727,-0.3181818181818182,0.3333333333333333,-0.15489789617658978,0.3333333333333333,-0.36363636363636365,0.3333333333333333,-0.009090909090909092,0.0,0.07272727272727274,0.3333333333333333,-0.46363636363636374
2019-01-18,0.2727272727272727,-0.690909090909091,0.3333333333333333,-0.18181818181818182,0.0,-0.8272727272727273,0.3333333333333333,-0.07272727272727274,0.0,-0.027524094128159017,0.0,-0.7181818181818183
2019-01-22,0.2727272727272727,-0.4272727272727273,0.3333333333333333,-0.06363636363636364,0.0,-0.881818181818182,0.3333333333333333,-0.07272727272727274,0.0,-0.38181818181818183,0.0,-0.6181818181818182
2019-01-23,0.2727272727272727,-0.5272727272727273,0.6666666666666666,0.11818181818181818,0.0,-0.6181818181818182,0.0,-0.18181818181818182,0.3333333333333333,0.06363636363636364,0.0,-0.6545454545454547
2019-01-24,0.2727272727272727,-0.3090909090909091,0.6666666666666666,0.1272727272727273,0.0,-0.5363636363636364,0.3333333333333333,-0.11818181818181818,0.3333333333333333,-0.10909090909090911,0.0,-0.6545454545454547
2019-01-25,0.2727272727272727,-0.3789993849310952,0.6666666666666666,0.3181818181818182,0.0,-0.7090909090909092,0.3333333333333333,0.3545454545454546,0.3333333333333333,-0.11818181818181818,0.0,-0.6636363636363638
2019-01-28,0.2727272727272727,-0.27272727272727276,0.6666666666666666,0.1913444599828462,0.0,-0.7636363636363637,0.3333333333333333,0.5272727272727273,0.3333333333333333,-0.08181818181818183,0.0,-0.5545454545454546
2019-01-29,0.2727272727272727,-0.3272727272727273,0.6666666666666666,0.19090909090909092,0.0,-0.6727272727272727,0.6666666666666666,0.5545454545454546,0.3333333333333333,-0.11818181818181818,0.0,-0.4909090909090909
2019-01-30,0.2727272727272727,-0.009090909090909092,0.0,0.018181818181818184,0.3333333333333333,-0.45454545454545453,0.3333333333333333,0.7272727272727273,0.3333333333333333,-0.21818181818181823,0.3333333333333333,-0.46363636363636374
2019-01-31,0.2727272727272727,-0.06363636363636364,0.0,-0.2870166899742693,0.3333333333333333,-0.28181818181818186,0.3333333333333333,0.6545454545454547,0.0,0.12756297332189748,0.3333333333333333,-0.3727272727272728
2019-02-01,0.2727272727272727,-0.13636363636363638,0.0,-0.4000000000000001,0.0,-0.06363636363636364,0.0,0.3272727272727273,0.0,-0.24545454545454545,0.0,-0.5090909090909091
2019-02-04,0.2727272727272727,-0.20000000000000004,0.3333333333333333,-0.1272727272727273,0.0,-0.10909090909090911,0.3333333333333333,-0.08181818181818183,0.0,-0.4727272727272727,0.3333333333333333,0.07272727272727274
2019-02-05,0.2727272727272727,-0.28181818181818186,0.3333333333333333,-0.44545454545454555,0.0,-0.03636363636363637,0.3333333333333333,0.38181818181818183,0.3333333333333333,-0.1272727272727273,0.0,-0.3181818181818182
2019-02-06,0.2727272727272727,-0.21412356236175645,0.0,-0.2779050490227052,0.3333333333333333,-0.5148077137633719,0.3333333333333333,0.29090909090909095,0.0,-0.5454545454545455,0.0,-0.26363636363636367
2019-02-07,0.2727272727272727,-0.5649217389969744,0.0,-0.18181818181818182,0.0,-0.7636363636363637,0.3333333333333333,0.009090909090909092,0.0,-0.4727272727272727,0.0,-0.5181818181818182
2019-02-08,0.2727272727272727,-0.07272727272727274,0.0,-0.4009122018688206,0.3333333333333333,-0.29090909090909095,0.3333333333333333,-0.1272727272727273,0.0,-0.5272727272727273,0.6666666666666666,-0.045454545454545456
2019-02-11,0.2727272727272727,-0.5466984570938462,0.0,-0.5363636363636364,0.0,-0.5090909090909091,0.3333333333333333,-0.3272727272727273,0.3333333333333333,-0.3090909090909091,0.0,-0.5545454545454546
2019-02-12,0.2727272727272727,-0.5603659185211924,0.0,-0.30000000000000004,0.3333333333333333,-0.17272727272727276,0.3333333333333333,-0.3090909090909091,0.3333333333333333,-0.5090909090909091,0.0,-0.3272727272727273
2019-02-13,0.2727272727272727,-0.7972685832618591,0.3333333333333333,-0.41913548377194887,0.0,-0.5909090909090909,0.0,0.20909090909090913,0.0,-0.26363636363636367,0.0,-0.5090909090909091
2019-02-14,0.2727272727272727,-0.39090909090909093,0.3333333333333333,0.02727272727272728,0.0,-0.36363636363636365,0.3333333333333333,0.45454545454545453,0.0,-0.07289312761251283,0.0,-0.5181818181818182
2019-02-15,0.2727272727272727,-0.43636363636363645,0.3333333333333333,0.4000000000000001,0.0,-0.4090909090909091,0.3333333333333333,-0.06363636363636364,0.3333333333333333,-0.10909090909090911,0.0,-0.5272727272727273
2019-02-19,0.2727272727272727,-0.28181818181818186,0.0,0.27272727272727276,0.0,-0.6363636363636364,0.6666666666666666,0.02727272727272728,0.0,-0.30000000000000004,0.0,-0.48181818181818187
2019-02-20,0.2727272727272727,-0.43636363636363645,0.3333333333333333,-0.0956722299914231,0.3333333333333333,-0.6818181818181819,0.3333333333333333,0.03636363636363637,0.3333333333333333,-0.45454545454545453,0.3333333333333333,-0.44545454545454555
2019-02-21,0.2727272727272727,-0.5363636363636364,0.3333333333333333,-0.30000000000000004,0.0,-0.8363636363636365,0.3333333333333333,-0.10909090909090911,0.0,-0.8454545454545455,0.3333333333333333,-0.4727272727272727
2019-02-22,0.2727272727272727,-0.5454545454545455,0.0,-0.5181818181818182,0.0,-0.690909090909091,0.6666666666666666,0.39090909090909093,0.0,-0.7090909090909092,0.0,-0.6181818181818182
2019-02-25,0.2727272727272727,-0.6363636363636364,0.0,-0.6818181818181819,0.0,-0.45454545454545453,0.3333333333333333,0.13636363636363638,0.0,-0.8000000000000002,0.0,-0.43636363636363645
2019-02-26,0.2727272727272727,-0.5,0.0,-0.38181818181818183,0.0,-0.6363636363636364,0.3333333333333333,0.06363636363636364,0.0,-0.6636363636363638,0.0,-0.5090909090909091
2019-02-27,0.2727272727272727,-0.45454545454545453,0.3333333333333333,-0.4000000000000001,0.0,-0.4909090909090909,0.6666666666666666,0.13636363636363638,0.0,-0.4090909090909091,0.3333333333333333,-0.29090909090909095
2019-02-28,0.2727272727272727,-0.6363636363636364,0.0,-0.20000000000000004,0.0,-0.7727272727272727,0.3333333333333333,0.13636363636363638,0.0,-0.36363636363636365,0.3333333333333333,-0.26363636363636367
2019-03-01,0.2727272727272727,-0.5545454545454546,0.0,-0.09090909090909091,0.0,-0.5636363636363637,0.0,0.1272727272727273,0.0,-0.5545454545454546,0.6666666666666666,0.02727272727272728
2019-03-04,0.2727272727272727,-0.5,0.3333333333333333,-0.15454545454545454,0.3333333333333333,-0.5818181818181819,0.0,0.15454545454545454,0.0,-0.5,0.3333333333333333,-0.10000000000000002
2019-03-05,0.2727272727272727,-0.6454545454545455,0.3333333333333333,-0.15454545454545454,0.0,-0.36363636363636365,0.3333333333333333,0.15454545454545454,0.0,-0.7636363636363637,0.3333333333333333,-0.26363636363636367
2019-03-06,0.2727272727272727,-0.4000000000000001,0.3333333333333333,-0.1272727272727273,0.0,-0.3454545454545455,0.6666666666666666,0.09090909090909091,0.3333333333333333,-0.30000000000000004,0.0,-0.5545454545454546
2019-03-07,0.2727272727272727,-0.20000000000000004,0.3333333333333333,0.018181818181818184,0.3333333333333333,-0.3181818181818182,0.3333333333333333,-0.22727272727272727,0.3333333333333333,-0.2545454545454546,0.3333333333333333,-0.5
2019-03-08,0.2727272727272727,-0.3090909090909091,0.3333333333333333,-0.05454545454545456,0.3333333333333333,-0.22727272727272727,0.6666666666666666,0.07272727272727274,0.3333333333333333,-0.41818181818181827,0.0,-0.4090909090909091
2019-03-11,0.2727272727272727,-0.3872447404414744,0.0,-0.2545454545454546,0.3333333333333333,-0.41818181818181827,0.3333333333333333,0.16363636363636366,0.0,-0.6454545454545455,0.0,-0.5272727272727273
2019-03-12,0.2727272727272727,-0.2277910237891026,0.3333333333333333,-0.13667461427346156,0.3333333333333333,-0.18181818181818182,0.3333333333333333,0.1272727272727273,0.0,-0.5,0.0,-0.5636363636363637
2019-03-13,0.2727272727272727,-0.17272727272727276,0.3333333333333333,0.27272727272727276,0.3333333333333333,-0.19090909090909092,0.3333333333333333,0.3090909090909091,0.3333333333333333,-0.44545454545454555,0.3333333333333333,-0.20000000000000004
2019-03-14,0.2727272727272727,-0.05454545454545456,0.3333333333333333,0.30000000000000004,0.6666666666666666,-0.11818181818181818,0.0,-0.009090909090909092,0.3333333333333333,-0.38181818181818183,0.6666666666666666,-0.08181818181818183
2019-03-15,0.2727272727272727,-0.4090909090909091,0.3333333333333333,0.09090909090909091,0.3333333333333333,0.08181818181818183,0.0,-0.48181818181818187,0.0,-0.7272727272727273,0.3333333333333333,-0.21818181818181823
2019-03-18,0.2727272727272727,-0.3545454545454546,0.3333333333333333,0.045454545454545456,0.3333333333333333,0.02727272727272728,0.3333333333333333,-0.5090909090909091,0.3333333333333333,-0.5,0.3333333333333333,-0.33636363636363636
