session,chance,level rho,Shape differential,Shape differential rho,Temporal delta,Temporal delta rho,Turnover share,Turnover share rho,Participation,Participation rho,Rotation momentum,Rotation momentum rho
2019-01-02,0.2727272727272727,-0.07655590023509527,0.3333333333333333,-0.17566201313073596,0.6666666666666666,0.7559435278405064,0.3333333333333333,-0.20005410523567124,0.3333333333333333,0.01909313313651758,0.6666666666666666,0.7350825262147921
2019-01-03,0.2727272727272727,-0.2720771471953755,0.6666666666666666,0.3513240262614719,1.0,0.6965187918958173,0.3333333333333333,-0.40941305257532723,0.3333333333333333,-0.29310252627551836,0.6666666666666666,0.24192589470360243
2019-01-04,0.2727272727272727,-0.24003256025808464,1.0,0.2817180849095055,0.6666666666666666,0.4037133836325358,0.6666666666666666,-0.11927107455535572,0.3333333333333333,-0.22989052461176887,0.3333333333333333,0.07339758434175737
2019-01-07,0.2727272727272727,-0.21169509870286277,0.3333333333333333,0.27777777777777773,0.3333333333333333,-0.004695301415158426,0.3333333333333333,-0.1651445647689541,0.0,0.11600959299785511,0.6666666666666666,0.05504818825631804
2019-01-08,0.2727272727272727,-0.36108302699095723,0.3333333333333333,-0.5493502655735357,0.3333333333333333,-0.34506428807539524,0.3333333333333333,-0.14887747366375534,0.0,0.19395911888601391,0.3333333333333333,-0.2512307368075871
2019-01-09,0.18181818181818182,-0.6928890517934586,0.3333333333333333,-0.32696990496286354,0.0,-0.6714281023676548,0.3333333333333333,-0.46989452625122785,0.0,-0.3129628355477828,0.3333333333333333,-0.6141195788629908
2019-01-10,0.2727272727272727,0.06666666666666667,0.6666666666666666,0.05238095238095238,0.3333333333333333,0.014085904245475277,0.6666666666666666,0.18609684207969418,0.3333333333333333,-0.120008305360428,0.6666666666666666,0.1767919999757095
2019-01-11,0.18181818181818182,-0.6303152364470475,0.0,-0.14253212525929668,0.3333333333333333,-0.4351851851851851,0.3333333333333333,-0.3302891295379082,0.0,-0.5965952781626133,0.3333333333333333,-0.22019275302527216
2019-01-14,0.2727272727272727,-0.5891915582948718,0.0,-0.02389092412837483,0.0,-0.5799086757990868,0.3333333333333333,-0.02277910237891026,0.0,-0.5579081205183204,0.0,-0.4601378680539873
2019-01-15,0.2727272727272727,-0.563825809429646,0.0,0.0,0.0,-0.7448452997421311,0.6666666666666666,0.2961283309258334,0.0,-0.5305186563997394,0.3333333333333333,-0.6970405327946539
2019-01-16,0.2727272727272727,-0.8020413182292969,0.0,-0.4173412673344307,0.0,-0.680365296803653,0.3333333333333333,0.08200476856407694,0.0,-0.49817822815176155,0.0,-0.788156942310295
2019-01-17,0.2727272727272727,-0.733213220022839,0.3333333333333333,0.10584754935143138,0.3333333333333333,-0.6150844853857538,0.6666666666666666,0.24771684715343112,0.0,-0.23061951867933625,0.3333333333333333,-0.6238794669049377
2019-01-18,0.18181818181818182,-0.7803902927439635,0.3333333333333333,0.10329663113348535,0.0,-0.6103891839705952,0.3333333333333333,-0.3211144314951885,0.0,-0.2918042889412009,0.3333333333333333,-0.1926686588971131
2019-01-21,0.18181818181818182,-0.8954478359049325,0.0,-0.5117878542522684,0.0,-0.7499999999999999,0.3333333333333333,-0.1651445647689541,0.0,-0.7302404569432813,0.3333333333333333,-0.7890240316738917
