deck,card,symbol,market,date,end,adr,base_len,cluster_k,collapsed,provisional,band,tag,reason
D,33,TJX,US,2022-12-08,1494,0.022935100563800725,10.0,3.0,0.0,2.0,1.0,detection,
D,34,BELFB,US,2019-09-18,681,0.095918984683949,,,,,,reject:line_not_drawable,line_not_drawable
D,35,GGT,US,2020-07-23,894,0.0235828859778911,,,,,,reject:line_not_drawable,line_not_drawable
D,36,RARE,US,2019-03-12,549,0.05323789433431151,7.0,3.0,0.0,2.5,2.0,detection,
D,37,FEED,US,2021-09-07,792,0.16647455274810877,15.0,4.0,0.0,3.0,2.0,detection,
D,38,HAL,US,2020-06-23,873,0.060683371487071446,12.0,5.0,0.0,4.5,4.0,detection,
D,39,CRWD,US,2022-08-19,804,0.039173647910166566,7.0,3.0,0.0,3.0,2.0,repeat,
D,40,SID,US,2018-08-21,411,0.04508406358867813,,,,,,reject:line_not_drawable,line_not_drawable
D,41,HQY,US,2019-04-10,570,0.03730829941220554,17.0,4.0,0.0,2.0,1.0,detection,
D,42,CAKE,US,2021-04-01,1068,0.05252130165140523,14.0,5.0,0.0,5.0,4.0,repeat,
D,43,VBF,US,2020-06-15,867,0.01378143906531688,,,,,,reject:no_cluster,no_cluster
D,44,ZVRA,US,2017-06-26,120,0.060743351691739535,,,,,,reject:line_not_drawable,line_not_drawable
D,45,EBS,US,2018-03-27,309,0.02671439518073495,5.0,4.0,0.0,2.0,1.0,detection,
